ประทับเวลา,"ส่วนที่ 1: สถานการณ์ทริปไป-กลับวันเดียว (Day Trip)

1. สมมติว่าคุณมีเวลาเที่ยวแค่ไป-กลับ คุณตั้งงบประมาณไว้ที่เท่าไหร่? (ต่อ 1 ท่าน)",2. คุณมีเวลาสำหรับการท่องเที่ยวในทริปนี้กี่ชั่วโมง?,3. สไตล์หรืออารมณ์ของทริป 1 วันนี้ ที่คุณต้องการคือแบบไหน? (Trip Mood),4. หมวดหมู่สถานที่ท่องเที่ยวที่คุณสนใจที่สุดในทริปนี้คืออะไร?,5. จากงบประมาณและสไตล์ที่เลือก คุณจะเลือกไปสถานที่ใดในสุราษฎร์ธานี? (สำหรับไป-กลับ),1. สำหรับทริปค้างคืนนี้ คุณตั้งงบประมาณไว้ที่เท่าไหร่? (ต่อ 1 ท่าน),2. คุณมีเวลาสำหรับการท่องเที่ยวค้างคืนนี้กี่ชั่วโมง?,3. สไตล์หรืออารมณ์ของทริปค้างคืนนี้ ที่คุณต้องการคือแบบไหน? (Trip Mood),4. หมวดหมู่สถานที่ท่องเที่ยวที่คุณสนใจที่สุดในทริปนี้คืออะไร?,5. จากงบและสไตล์ที่เลือก คุณจะเลือกไปสถานที่ใดในสุราษฎร์ธานี? (สำหรับค้างคืน)
"18/8/2026, 22:54:11",1500,8,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,เขาสก,3000,48,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,เกาะพะงัน
"18/8/2026, 23:07:03",2000,12,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหาร",เขาศก,5000,72,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, ร้านอาหารพื้นบ้าน",เกาะสมุย
"18/8/2026, 23:13:05",2000,12,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",อุทยานแห่งชาติเขาสก,5000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่สไตล์ชิคๆ, ร้านอาหารพื้นบ้าน",เกาะสมุย
"18/8/2026, 23:22:10",1000,12,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหาร",คลองน้ำใส,4000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่สไตล์ชิคๆ, ร้านอาหารพื้นบ้าน",เขาสก
"18/8/2026, 23:24:26",2000,4,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม",ป่าต้นน้ำบ้านน้ำราด,2000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน, ร้านอาหารพื้นบ้าน",เกาะสมุย
"18/8/2026, 23:26:33",3000,6,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน",ทะเลพุมเรียง,5000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม",เกาะพงัน
"18/8/2026, 23:32:27",500,5,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหาร",สังกะสีหมูกระทะ,4000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่",เกาะแรต
"18/8/2026, 23:39:57",1000,8,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",ป่าต้นน้ำ บ้านน้ำราด,3000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เกาะสมุย
"18/8/2026, 23:41:51",1500,6,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหาร",พัทลุงคาเฟ่ ร้านอาหารที่เค้ารีวิวอะไรแบบนี้,10000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหารพื้นบ้าน",เกาะสมุย เกาะมัดสุมและอื่นๆ
"19/8/2026, 0:10:48",3000,12,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,น้ำตกเหมืองทวด,5000,72,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,เกาะสมุย
