id,name,tag,image,vr_image,location,travelTime,description,lat,lng
1,อุทยานธรรมเขานาในหลวง,วัด,/images/khananai.jpg,/vr_images/khananai_360.jpg,อ.พนม,1 ชั่วโมง,ซุ้มประตูพุทธวดี 9 ยอดที่สวยงาม และเจดีย์ลอยฟ้า,8.8252,98.8879
2,ป่าต้นน้ำ บ้านน้ำราด,ธรรมชาติ,/images/namrad.jpg,/vr_images/namrad_360.jpg,อ.คีรีรัฐนิคม,1 ชั่วโมง,สระน้ำใสราวกระจก กลางป่าดิบชื้น,8.9248,98.9836
3,หินพัด,ธรรมชาติ,/images/hin_pad.jpg,/vr_images/hin_pad_360.jpg,อ.คีรีรัฐนิคม,1 ชั่วโมง 15 นาที,สิ่งมหัศจรรย์ทางธรรมชาติ ก้อนหินยักษ์ตั้งตระหง่าน,9.0567,98.8872
4,บ้านสวนกาแฟ คีรีรัฐ,คาเฟ่,/images/bansuan_coffee.jpg,/vr_images/bansuan_coffee_360.jpg,อ.คีรีรัฐนิคม,1 ชั่วโมง 5 นาที,จิบกาแฟสดท่ามกลางสวนปาล์มและธรรมชาติสีเขียว,8.9312,98.9712
5,วัดเขาสุวรรณประดิษฐ์,วัด,/images/khao_suwan.jpg,/vr_images/khao_suwan_360.jpg,อ.ดอนสัก,1 ชั่วโมง 10 นาที,นมัสการพระธาตุและชมวิวทะเลอ่าวไทยแบบพาโนรามา,9.3122,99.9654
6,ท่าเฟอร์รี่เกาะสมุย (ดอนสัก),ชุมชน,/images/donsak_ferry.jpg,/vr_images/donsak_ferry_360.jpg,อ.ดอนสัก,1 ชั่วโมง,จุดเชื่อมต่อการเดินทางข้ามไปเกาะสมุยและเกาะพะงัน,9.3101,99.6012
7,แหลมทราย,ทะเล,/images/laem_sai.jpg,/vr_images/laem_sai_360.jpg,อ.ดอนสัก,1 ชั่วโมง 20 นาที,จุดชมวิวทะเลและวิถีชีวิตชาวประมงพื้นบ้าน,9.2544,99.8821
8,เขื่อนรัชชประภา (เขาสามเกลอ),ธรรมชาติ,/images/ratchaprapha.jpg,/vr_images/ratchaprapha_360.jpg,อ.บ้านตาขุน,1 ชั่วโมง 30 นาที,กุ้ยหลินเมืองไทย ชมเขาสามเกลอ,8.9717,98.8173
9,สะพานแขวนเขาพัง (ภูเขารูปหัวใจ),ธรรมชาติ,/images/heart_mountain.jpg,/vr_images/heart_mountain_360.jpg,อ.บ้านตาขุน,1 ชั่วโมง 30 นาที,ถ่ายรูปคู่สะพานแขวนและวิวภูเขารูปหัวใจ,8.9566,98.8119
10,ถ้ำปะการัง (เขื่อนเชี่ยวหลาน),ธรรมชาติ,/images/coral_cave.jpg,/vr_images/coral_cave_360.jpg,อ.บ้านตาขุน,2 ชั่วโมง,นั่งแพไม้ไผ่ชมหงอกหินย้อยรูปร่างคล้ายปะการัง,9.0111,98.7188
11,ร้านอาหาร ครัวนาคา,ร้านอาหาร,/images/naka_kitchen.jpg,/vr_images/naka_kitchen_360.jpg,อ.บ้านตาขุน,1 ชั่วโมง 35 นาที,ร้านอาหารใกล้เขื่อนรัชชประภา ปลาเขื่อนสดๆ ทำเมนูไหนก็อร่อย,8.9654,98.8211
12,น้ำตกดาดฟ้า อุทยานฯ ใต้ร่มเย็น,ธรรมชาติ,/images/dadfa_waterfall.jpg,/vr_images/dadfa_waterfall_360.jpg,อ.บ้านนาสาร,1 ชั่วโมง,น้ำตกที่สูงและสวยงามที่สุดในจังหวัดสุราษฎร์ธานี,8.8475,99.4191
13,ถ้ำขมิ้น,ธรรมชาติ,/images/khamin_cave.jpg,/vr_images/khamin_cave_360.jpg,อ.บ้านนาสาร,50 นาที,ถ้ำขนาดใหญ่ที่มีหินงอกหินย้อยอลังการและเส้นทางศึกษาธรรมชาติ,8.8687,99.3793
14,อุทยานแห่งชาติเขาสก,ธรรมชาติ,/images/khaosok.jpg,/vr_images/khaosok_360.jpg,อ.พนม,1 ชั่วโมง 45 นาที,ป่าดิบชื้นเก่าแก่ เดินป่าศึกษาธรรมชาติ,8.9103,98.5301
15,วัดถ้ำวัวแดง,วัด,/images/tham_wuadaeng.jpg,/vr_images/tham_wuadaeng_360.jpg,อ.พนม,1 ชั่วโมง 40 นาที,สำนักสงฆ์และถ้ำธรรมชาติอันเงียบสงบในอ้อมกอดขุนเขา,8.8912,98.5712
16,ล่องเรือชม ชุมชนลีเล็ด,ชุมชน,/images/leled.jpg,/vr_images/leled_360.jpg,อ.พุนพิน,30 นาที,วิถีชีวิตชาวประมง ล่องเรือชมป่าชายเลน,9.1793,99.2559
17,บ่อน้ำพุร้อนท่าสะท้อน,ธรรมชาติ,/images/hotspring.jpg,/vr_images/hotspring_360.jpg,อ.พุนพิน,40 นาที,แช่น้ำแร่ธรรมชาติเพื่อสุขภาพ ท่ามกลางบรรยากาศร่มรื่น,9.0255,99.2458
18,ตลาดน้ำประชารัฐบางใบไม้,ชุมชน,/images/bangbaimai.jpg,/vr_images/bangbaimai_360.jpg,อ.เมือง,20 นาที,ล่องเรือชมอุโมงค์จาก ชิมอาหารพื้นบ้านของชุมชนบางใบไม้,9.1501,99.3150
19,วัดประชารังสรรค์,วัด,/images/pracharangsarn.jpg,/vr_images/pracharangsarn_360.jpg,อ.พุนพิน,25 นาที,วัดเก่าแก่ริมแม่น้ำตาปี บรรยากาศเงียบสงบ,9.1512,99.2891
20,ร้านอาหาร บ้านลุงจ่า,ร้านอาหาร,/images/lung_ja.jpg,/vr_images/lung_ja_360.jpg,อ.พุนพิน,30 นาที,อาหารพื้นบ้านรสชาติเข้มข้น จัดจ้านสไตล์ปักษ์ใต้,9.1201,99.2612
21,May Leb Na Cafe (แม่เลียบนาคาเฟ่),คาเฟ่,/images/mayleab.jpg,/vr_images/mayleab_360.jpg,อ.พุนพิน,25 นาที,คาเฟ่กลางทุ่งนา บรรยากาศชิลๆ กาแฟอร่อย,9.1122,99.2711
22,คาเฟ่บ้านไม้ริมน้ำ,คาเฟ่,/images/baan_mai.jpg,/vr_images/baan_mai_360.jpg,อ.พุนพิน,20 นาที,คาเฟ่วินเทจริมน้ำ บรรยากาศอบอุ่นเป็นกันเอง,9.1611,99.2712
23,จุดชมวิวปากน้ำตาปี,ธรรมชาติ,/images/paktapi.jpg,/vr_images/paktapi_360.jpg,อ.เมือง,25 นาที,จุดชมวิวพระอาทิตย์ตก แหล่งรวมร้านอาหารทะเลสด,9.1953,99.3802
24,ร้านอาหารพื้นบ้าน ลักยิ้มริมน้ำ,ร้านอาหาร,/images/luckyim.jpg,/vr_images/luckyim_360.jpg,อ.เมือง,15 นาที,ร้านอาหารริมแม่น้ำตาปี รสชาติอาหารใต้แท้ๆ,9.1396,99.3308
25,วิถีชีวิต คลองร้อยสาย,ชุมชน,/images/klong100.jpg,/vr_images/klong100_360.jpg,อ.เมือง,10 นาที,ล่องเรือแจวชมวิถีชีวิตริมน้ำดั้งเดิม,9.1436,99.3146
26,Lamphu Cafe (ลำภู คาเฟ่ริมน้ำ),คาเฟ่,/images/lamphu.jpg,/vr_images/lamphu_360.jpg,อ.เมือง,15 นาที,คาเฟ่ชิลๆ ริมแม่น้ำตาปี มุมถ่ายรูปเพียบ,9.1415,99.3241
27,ตลาดศาลเจ้า (สตรีทฟู้ดโต้รุ่ง),ร้านอาหาร,/images/saljao.jpg,/vr_images/saljao_360.jpg,อ.เมือง,เดินทางสะดวก,สตรีทฟู้ดยามค่ำคืนใจกลางเมือง,9.1402,99.3302
28,ศาลหลักเมืองสุราษฎร์ธานี,วัด,/images/citypillar.jpg,/vr_images/citypillar_360.jpg,อ.เมือง,10 นาที,ศูนย์รวมจิตใจชาวสุราษฎร์ธานี สถาปัตยกรรมงดงาม,9.1411,99.3218
29,พระธาตุศรีสุราษฎร์ เขาท่าเพชร,วัด,/images/khao_thaphet.jpg,/vr_images/khao_thaphet_360.jpg,อ.เมือง,20 นาที,ชมวิวเมืองสุราษฎร์ธานีจากมุมสูงและสักการะพระธาตุ,9.1108,99.3361
30,สะพานศรีสุราษฎร์,ธรรมชาติ,/images/sri_surat.jpg,/vr_images/brige.jpg,อ.เมือง,20 นาที,สะพานข้ามแม่น้ำตาปีที่สูงและสวยที่สุด ชมวิวปากอ่าว,9.1672,99.3516
31,บึงขุนทะเล,ธรรมชาติ,/images/khun_talay.jpg,/vr_images/khun_talay_360.jpg,อ.เมือง,15 นาที,สวนสาธารณะขนาดใหญ่ใจกลางเมือง เหมาะกับการพักผ่อนและชมพระอาทิตย์ตก,9.1255,99.3488
32,ตลาดสดเทศบาลเมืองสุราษฎร์ธานี,ร้านอาหาร,/images/fresh_market.jpg,/vr_images/fresh_market_360.jpg,อ.เมือง,10 นาที,แหล่งรวมของกินพื้นบ้าน ตลาดเช้าคึกคัก อาหารทะเลสดๆ,9.1388,99.3321
33,ร้านอาหาร สมยศปากน้ำ (สมยศซีฟู้ด),ร้านอาหาร,/images/somyos.jpg,/vr_images/somyos_360.jpg,อ.เมือง,20 นาที,ร้านอาหารทะเลสดๆ ริมแม่น้ำตาปี เมนูซีฟู้ดจัดจ้าน,9.1245,99.3211
34,The Roof Cafe Surat Thani,คาเฟ่,/images/theroof.jpg,/vr_images/theroof_360.jpg,อ.เมือง,10 นาที,คาเฟ่สไตล์ดาดฟ้าวิวเมืองสุราษฎร์ธานี ถ่ายรูปสวยปัง,9.1381,99.3342
35,ร้านอาหารใต้ ครัวคุณย่า,ร้านอาหาร,/images/khrua_khunya.jpg,/vr_images/khrua_khunya_360.jpg,อ.เมือง,15 นาที,แกงส้มและคั่วกลิ้งรสเด็ด สูตรคุณย่าดั้งเดิม,9.1432,99.3298
36,ร้านขนมจีน 5 หน้า (ป้าเขียว),ร้านอาหาร,/images/kanom_jeen.jpg,/vr_images/kanom_jeen_360.jpg,อ.เมือง,15 นาที,ขนมจีนน้ำยาใต้รสเข้มข้น ผักเหนียวน้ำฟรีไม่อั้น,9.1354,99.3312
